Clearsky GHI,Temperature
14962,7.533928571428571
15789,7.692857142857141
16279,7.513095238095236
17965,5.794047619047618
19199,6.2690476190476145
22118,8.711309523809526
24751,9.974404761904767
27009,9.781547619047618
29337,12.402380952380952
32487,12.903571428571432
36045,11.699999999999996
38694,12.277380952380955
41417,12.715476190476194
42741,12.393452380952386
44686,12.876190476190471
45557,16.30535714285714
49229,15.165476190476193
52384,14.170833333333336
53794,15.007738095238084
54637,14.575000000000001
54339,17.592857142857145
57154,19.340476190476185
55343,21.141071428571433
57879,22.324404761904763
57612,25.04880952380951
55544,30.84345238095237
55695,28.175595238095255
54182,25.60416666666666
53694,25.622023809523785
52513,28.03869047619048
51667,25.77380952380953
48105,26.286904761904754
48013,25.224999999999998
43616,26.577380952380953
41528,27.461904761904776
41022,22.45595238095237
38664,24.539285714285732
34976,21.07619047619049
33875,21.51011904761906
31795,19.407738095238095
28446,18.492857142857137
24864,19.072023809523802
21779,18.937499999999982
20297,16.23809523809524
19316,12.9529761904762
17707,10.45357142857143
15062,12.87500000000001
14955,12.310714285714294
14234,9.543452380952381
13783,9.905357142857142
12733,12.76666666666667
13902,8.94821428571429
1992,1.2285714285714289
